node,score
"(:Microservice {name: ""Order"",degree_aff: 6.0})",6.0
"(:Microservice {name: ""Restaurant"",degree_aff: 4.0})",4.0
"(:Microservice {name: ""Kitchen"",degree_aff: 4.0})",4.0
"(:Microservice {name: ""Consumer"",degree_aff: 3.0})",3.0
"(:Microservice {name: ""Account"",degree_aff: 3.0})",3.0
"(:Microservice {name: ""Delivery"",degree_aff: 2.0})",2.0
"(:Microservice {name: ""Order History"",degree_aff: 1.0})",1.0
"(:Microservice {name: ""Notification"",degree_aff: 1.0})",1.0
"(:Microservice {name: ""Delayed Order Service"",degree_aff: 1.0})",1.0
"(:IntegrationAdapter {name: ""Stripe Adapter"",degree_aff: 1.0})",1.0
"(:IntegrationAdapter {name: ""Twilio Adapter"",degree_aff: 1.0})",1.0
"(:IntegrationAdapter {name: ""Amazon_SES_Adapter"",degree_aff: 1.0})",1.0
"(:FrontEndMicroservice {name: ""Api Gateway"",degree_aff: 0.0})",0.0
"(:FrontEndMicroservice {name: ""Restaurant UI"",degree_aff: 0.0})",0.0
