node,score
"(:Microservice {name: ""Delegate Order"",degree_affrent: 4.0})",4.0
"(:Microservice {name: ""Restaurant"",degree_affrent: 4.0})",4.0
"(:Microservice {name: ""Kitchen"",degree_affrent: 4.0})",4.0
"(:Microservice {name: ""Consumer"",degree_affrent: 3.0})",3.0
"(:Microservice {name: ""Account"",degree_affrent: 3.0})",3.0
"(:Microservice {name: ""Create Order"",degree_affrent: 2.0})",2.0
"(:Microservice {name: ""Update Order"",degree_affrent: 2.0})",2.0
"(:Microservice {name: ""Cancel Order"",degree_affrent: 2.0})",2.0
"(:Broker {name: ""Events Publisher"",degree_affrent: 2.0})",2.0
"(:Broker {name: ""Commands Handler"",degree_affrent: 2.0})",2.0
"(:Microservice {name: ""Delivery"",degree_affrent: 2.0})",2.0
"(:IntegrationAdapter {name: ""Stripe Adapter"",degree_affrent: 1.0})",1.0
"(:IntegrationAdapter {name: ""Twilio Adapter"",degree_affrent: 1.0})",1.0
"(:IntegrationAdapter {name: ""Amazon_SES_Adapter"",degree_affrent: 1.0})",1.0
"(:Microservice {name: ""Order History"",degree_affrent: 1.0})",1.0
"(:Microservice {name: ""Notification"",degree_affrent: 1.0})",1.0
"(:Microservice {name: ""Delayed Order Service"",degree_affrent: 1.0})",1.0
"(:Broker {name: ""Order Events Handler"",degree_affrent: 0.0})",0.0
"(:Broker {name: ""Delegate Order Event Updater"",degree_affrent: 0.0})",0.0
"(:FrontEndMicroservice {name: ""Api Gateway"",degree_affrent: 0.0})",0.0
"(:FrontEndMicroservice {name: ""Restaurant UI"",degree_affrent: 0.0})",0.0
"(:FrontEndMicroservice {name: ""Order Api"",degree_affrent: 0.0})",0.0
"(:FrontEndMicroservice {name: ""Order Restaurant UI"",degree_affrent: 0.0})",0.0
