node,score
"(:Microservice {name: ""Read Model"",degree: 3.0})",3.0
"(:Microservice {name: ""Notification"",degree: 3.0})",3.0
"(:Microservice {name: ""Invoice"",degree: 3.0})",3.0
"(:Microservice {degree: 2.0,name: ""Customer Vehicle Event Listener""})",2.0
"(:Microservice {degree: 1.0,name: ""Vehicle Management""})",1.0
"(:Microservice {degree: 1.0,name: ""Customer Management""})",1.0
"(:Microservice {degree: 1.0,name: ""Workshop Management""})",1.0
"(:FrontEndMicroservice {degree: 0.0,name: ""PitStop Web App""})",0.0
"(:FrontEndMicroservice {name: ""Management UI"",degree: 0.0})",0.0
"(:Microservice {name: ""Time Service"",degree: 0.0})",0.0
"(:Microservice {degree: 0.0,name: ""Auditlog Service""})",0.0
